height(cm),weight(kg),gender,size
172.72,84.82177319,Female,XL
185.42000000000002,83.46099608,Female,XL
165.1,77.1107029,Female,XL
170.18,61.68856232,Female,M
170.18,78.92507238,Female,XXL
154.94,61.68856232,Female,S
160.02,67.13167076,Female,XL
165.1,69.39963261,Female,L
167.64000000000001,67.13167076,Female,L
154.94,61.23496995,Female,S
160.02,77.1107029,Female,XXL
165.1,58.513415730000006,Female,S
165.1,70.76040972,Female,XL
167.64000000000001,56.69904625,Female,S
175.26,83.91458845000001,Female,XXL
152.4,55.33826914,Female,XL
152.4,62.142154690000005,Female,XL
165.1,72.57477920000001,Female,XXL
162.56,66.22448602,Female,XL
157.48,49.895160700000005,Female,S
165.1,63.502931800000006,Female,M
167.64000000000001,66.67807839000001,Female,XL
162.56,57.60623099,Female,S
160.02,63.95652417,Female,XL
172.72,61.68856232,Female,M
149.86,47.173606480000004,Female,S
152.4,58.05982336,Female,M
160.02,74.84274105,Female,XL
165.1,67.58526313,Female,L
160.02,70.76040972,Female,XL
175.26,77.1107029,Female,XL
157.48,53.07030729,Female,S
162.56,61.23496995,Female,M
162.56,63.502931800000006,Female,M
167.64000000000001,78.01788764,Female,XL
162.56,59.420600470000004,Female,M
157.48,73.48196394,Female,L
160.02,65.77089365,Female,XL
165.1,67.58526313,Female,XL
162.56,59.874192840000006,Female,L
177.8,71.66759446,Female,L
152.4,53.523899660000005,Female,S
175.26,74.84274105,Female,XL
165.1,59.874192840000006,Female,XL
149.86,49.895160700000005,Female,S
157.48,63.502931800000006,Female,XL
165.1,66.67807839000001,Female,XL
167.64000000000001,62.142154690000005,Female,S
152.4,58.9670081,Female,M
162.56,61.23496995,Female,M
160.02,61.23496995,Female,S
167.64000000000001,77.56429527,Female,XXL
154.94,73.93555631000001,Female,XL
165.1,62.142154690000005,Female,M
152.4,66.67807839000001,Female,XL
160.02,52.163122550000004,Female,S
162.56,63.502931800000006,Female,M
165.1,69.39963261,Female,L
172.72,71.66759446,Female,L
167.64000000000001,65.77089365,Female,XL
165.1,81.6466266,Female,XXL
162.56,62.59574706,Female,S
157.48,60.32778521,Female,L
160.02,56.69904625,Female,S
167.64000000000001,50.34875307,Female,S
160.02,61.68856232,Female,M
170.18,81.6466266,Female,XXL
162.56,54.4310844,Female,S
157.48,63.95652417,Female,XL
157.48,53.97749203,Female,S
165.1,57.152638620000005,Female,S
160.02,63.502931800000006,Female,XL
162.56,63.502931800000006,Female,M
157.48,59.874192840000006,Female,M
157.48,56.69904625,Female,S
162.56,58.9670081,Female,L
167.64000000000001,81.19303423000001,Female,XXL
170.18,63.502931800000006,Female,M
175.26,63.502931800000006,Female,M
162.56,54.4310844,Female,M
170.18,79.37866475,Female,XL
157.48,67.13167076,Female,L
162.56,66.67807839000001,Female,XL
165.1,56.69904625,Female,S
165.1,73.48196394,Female,XL
167.64000000000001,52.61671492,Female,M
167.64000000000001,76.65711053,Female,XL
157.48,58.9670081,Female,M
162.56,72.12118683,Female,XL
162.56,63.502931800000006,Female,M
167.64000000000001,78.01788764,Female,XL
162.56,73.02837157,Female,XL
157.48,57.152638620000005,Female,S
165.1,65.77089365,Female,M
165.1,71.21400209000001,Female,XL
162.56,67.58526313,Female,XL
175.26,95.2543977,Female,XXL
165.1,71.21400209000001,Female,XL
152.4,70.30681735,Female,XXL
160.02,65.31730128000001,Female,XL
152.4,52.163122550000004,Female,S
160.02,55.33826914,Female,S
177.8,81.6466266,Female,XXL
172.72,72.12118683,Female,XL
165.1,65.77089365,Female,M
152.4,63.502931800000006,Female,XL
167.64000000000001,65.77089365,Female,M
165.1,65.77089365,Female,XL
170.18,76.65711053,Female,XL
162.56,71.21400209000001,Female,L
157.48,61.23496995,Female,XL
162.56,58.05982336,Female,L
162.56,54.4310844,Female,S
162.56,68.49244787,Female,XL
162.56,68.0388555,Female,XXL
154.94,57.60623099,Female,S
165.1,54.884676770000006,Female,S
170.18,71.66759446,Female,XL
170.18,63.95652417,Female,M
170.18,83.91458845000001,Female,XXL
167.64000000000001,65.77089365,Female,XL
162.56,56.24545388,Female,M
162.56,56.69904625,Female,S
162.56,62.59574706,Female,L
149.86,62.142154690000005,Female,XL
157.48,47.62719885,Female,S
160.02,62.142154690000005,Female,S
170.18,63.95652417,Female,M
162.56,81.6466266,Female,XXL
172.72,70.76040972,Female,XL
157.48,54.4310844,Female,S
152.4,47.62719885,Female,S
162.56,65.77089365,Female,M
167.64000000000001,72.57477920000001,Female,L
162.56,58.9670081,Female,XL
172.72,79.37866475,Female,L
172.72,75.74992579,Female,M
167.64000000000001,46.72001411,Female,S
160.02,53.97749203,Female,M
175.26,76.20351816,Female,XL
157.48,66.67807839000001,Female,XL
162.56,67.58526313,Female,L
157.48,68.0388555,Female,XL
167.64000000000001,58.05982336,Female,S
165.1,74.84274105,Female,XL
165.1,67.13167076,Female,S
182.88,77.56429527,Female,L
167.64000000000001,78.92507238,Female,XL
167.64000000000001,60.32778521,Female,S
154.94,74.38914868,Female,XXL
167.64000000000001,72.57477920000001,Female,XL
162.56,64.86370891,Female,XXL
172.72,67.13167076,Female,XL
165.1,72.57477920000001,Female,L
170.18,56.24545388,Female,S
157.48,58.9670081,Female,S
162.56,65.77089365,Female,XL
152.4,56.24545388,Female,M
167.64000000000001,54.4310844,Female,S
154.94,47.62719885,Female,S
165.1,54.4310844,Female,S
170.18,73.93555631000001,Female,XXL
149.86,63.502931800000006,Female,XL
154.94,61.23496995,Female,M
157.48,62.142154690000005,Female,L
160.02,56.69904625,Female,S
157.48,77.1107029,Female,XXL
160.02,65.77089365,Female,XL
157.48,69.39963261,Female,XXL
157.48,63.95652417,Female,M
154.94,52.61671492,Female,S
160.02,53.523899660000005,Female,S
154.94,59.420600470000004,Female,M
160.02,65.77089365,Female,L
162.56,72.12118683,Female,XL
170.18,63.502931800000006,Female,M
160.02,64.41011654,Female,XL
162.56,66.67807839000001,Female,XL
167.64000000000001,75.74992579,Female,M
165.1,54.4310844,Female,S
160.02,69.85322498000001,Female,XXL
160.02,62.59574706,Female,XL
162.56,65.77089365,Female,XL
160.02,70.76040972,Female,XXL
160.02,68.0388555,Female,L
172.72,83.00740371,Female,XXL
162.56,64.86370891,Female,M
165.1,56.69904625,Female,S
160.02,73.48196394,Female,XL
162.56,73.02837157,Female,M
175.26,56.69904625,Female,M
203.2,72.57477920000001,Female,XL
180.34,89.81128926000001,Female,XXL
170.18,72.57477920000001,Female,XL
165.1,61.23496995,Female,M
160.02,56.69904625,Female,S
160.02,58.9670081,Female,M
162.56,64.86370891,Female,XXL
162.56,81.6466266,Female,XL
172.72,75.29633342000001,Female,XL
165.1,68.0388555,Female,XL
152.4,57.60623099,Female,XL
167.64000000000001,58.9670081,Female,M
162.56,54.4310844,Female,S
167.64000000000001,81.6466266,Female,L
165.1,58.513415730000006,Female,S
170.18,63.502931800000006,Female,L
167.64000000000001,69.39963261,Female,XL
165.1,64.86370891,Female,L
165.1,61.23496995,Female,M
162.56,74.84274105,Female,XXL
152.4,56.69904625,Female,S
162.56,54.4310844,Female,S
167.64000000000001,58.9670081,Female,S
162.56,89.81128926000001,Female,XXL
149.86,68.0388555,Female,L
162.56,61.23496995,Female,M
160.02,49.895160700000005,Female,S
