height(cm),weight(kg),gender,size
167.64000000000001,65.77089365,Male,Medium
182.88,114.30527724000001,Male,XX-Large
175.26,89.81128926000001,Male,XL-Large
162.56,70.30681735,Male,Medium
220.98,97.52235955,Male,XX-Large
182.88,84.82177319,Male,XL-Large
175.26,77.56429527,Male,XL-Large
187.96,81.6466266,Male,XL-Large
180.34,65.77089365,Male,Medium
180.34,106.59420695,Male,X-Large
167.64000000000001,88.45051215000001,Male,XX-Large
177.8,96.16158244,Male,Large
182.88,88.45051215000001,Male,XX-Large
187.96,108.40857643000001,Male,X-Large
165.1,80.73944186,Male,XX-Large
167.64000000000001,81.6466266,Male,XL-Large
175.26,88.45051215000001,Male,XL-Large
162.56,58.9670081,Male,Small
185.42000000000002,115.66605435000001,Male,XX-Large
177.8,84.82177319,Male,XX-Large
180.34,92.98643585,Male,XX-Large
175.26,79.37866475,Male,XL-Large
170.18,54.884676770000006,Male,Small
170.18,53.523899660000005,Male,Small
167.64000000000001,90.718474,Male,X-Large
172.72,85.72895793,Male,XX-Large
177.8,104.32624510000001,Male,XX-Large
172.72,68.0388555,Male,Medium
175.26,73.48196394,Male,Medium
182.88,90.718474,Male,XL-Large
182.88,90.718474,Male,XL-Large
167.64000000000001,71.66759446,Male,Medium
177.8,111.13013065000001,Male,XX-Large
180.34,104.32624510000001,Male,X-Large
167.64000000000001,63.502931800000006,Male,Small
185.42000000000002,97.52235955,Male,XX-Large
190.5,102.51187562000001,Male,XX-Large
182.88,86.1825503,Male,XL-Large
190.5,115.66605435000001,Male,X-Large
175.26,92.98643585,Male,XX-Large
177.8,65.77089365,Male,Medium
165.1,71.21400209000001,Male,XL-Large
177.8,101.15109851000001,Male,X-Large
160.02,79.37866475,Male,XX-Large
177.8,111.13013065000001,Male,X-Large
175.26,83.91458845000001,Male,XX-Large
172.72,86.63614267,Male,XX-Large
195.58,81.6466266,Male,Large
177.8,78.92507238,Male,XL-Large
185.42000000000002,107.95498406,Male,X-Large
182.88,97.52235955,Male,XL-Large
167.64000000000001,78.01788764,Male,Large
172.72,99.79032140000001,Male,XX-Large
177.8,63.502931800000006,Male,Medium
167.64000000000001,65.77089365,Male,Large
167.64000000000001,90.718474,Male,XL-Large
165.1,81.6466266,Male,XL-Large
190.5,87.08973504000001,Male,XL-Large
